DATE,BAA10Y,DCOILWTICO_PCH,DCPN3M_CHG,DEXCAUS_PCH,DEXJPUS_PCH,DEXKOUS_PCH,DEXMXUS_PCH,DEXUSUK_PCH,DGS10_CHG,DJIA_PCH,DTWEXB_PCH,GOLDAMGBD228NLBM_PCH,NASDAQCOM_PCH,RU2000PR_PCH,SP500_PCH,T5YIE_CHG,T5YIFR_CHG,USD3MTD156N_CHG
2008-01-02,2.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-0.3,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A
2008-01-03,2.57,-0.5,#N/A,-0.2,-0.1,0.0,-0.2,-0.5,0.00,,-0.2,2.9,-0.3,-1.1,,0.00,0.02,-0.03438
2008-01-04,2.59,-1.3,#N/A,0.8,-1.1,0.2,0.4,0.1,-0.03,,0.0,-0.8,-3.8,-3.1,,-0.03,0.01,-0.02625
2008-01-07,2.60,-2.9,-0.18,0.6,0.7,0.2,-0.1,-0.3,-0.02,,0.3,-0.1,-0.2,0.3,,-0.03,-0.03,-0.07687
2008-01-08,2.63,1.4,#N/A,-0.6,0.2,-0.1,-0.3,0.1,0.00,,-0.2,1.8,-2.4,-2.6,,-0.01,0.01,-0.03813
2008-01-09,2.67,-0.8,#N/A,1.0,0.1,-0.2,0.8,-0.8,-0.04,,0.3,1.7,1.4,1.0,,-0.05,-0.01,-0.06250
2008-01-10,2.73,-1.8,#N/A,0.6,0.0,0.0,-0.1,0.0,0.09,,-0.1,-1.5,0.6,1.1,,-0.04,-0.02,-0.06562
2008-01-11,2.77,-1.3,#N/A,0.6,-0.2,0.0,-0.3,0.1,-0.09,,-0.1,2.2,-2.0,-2.2,,0.03,0.03,-0.11938
2008-01-14,2.76,1.6,#N/A,0.1,-0.9,0.0,-0.1,0.0,-0.01,,-0.3,2.0,1.6,1.1,,0.04,0.00,-0.20250
2008-01-15,2.78,-2.5,#N/A,-0.4,-1.0,-0.2,0.0,0.4,-0.09,,-0.1,-0.7,-2.4,-2.1,,-0.03,0.01,-0.05750
2008-01-16,2.77,-1.2,#N/A,0.7,0.2,0.8,0.2,-0.2,0.02,,0.5,-2.6,-1.0,0.4,,-0.05,-0.01,-0.04625
2008-01-17,2.81,-0.8,#N/A,0.5,-0.2,0.3,0.0,0.5,-0.08,,0.0,0.1,-2.0,-2.8,,-0.05,0.03,-0.02500
2008-01-18,2.87,0.5,#N/A,0.0,-0.2,0.0,0.0,-1.1,0.00,,0.3,-1.0,-0.3,-1.1,,-0.02,0.04,-0.03250
2008-01-21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0.0,0.2,#N/A,#N/A,,#N/A,#N/A,-0.04625
2008-01-22,2.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,-0.1,-1.4,#N/A,#N/A,,#N/A,#N/A,-0.13000
2008-01-23,2.95,-2.2,#N/A,0.3,-1.3,0.7,0.2,-0.3,-0.01,,0.1,3.0,1.1,3.3,,-0.05,-0.03,-0.38625
2008-01-24,2.95,2.7,-0.02,-2.1,1.2,-0.5,-0.6,1.1,0.17,,-0.7,0.4,1.9,-0.1,,0.07,0.01,-0.08750
2008-01-25,2.95,0.4,#N/A,-0.3,0.6,0.0,-0.2,0.3,-0.07,,0.0,3.3,-1.5,-0.6,,0.06,0.00,0.06250
2008-01-28,2.97,0.7,#N/A,0.0,-0.6,0.1,0.0,0.3,0.00,,-0.3,-0.5,1.0,2.0,,0.00,0.02,-0.05500
2008-01-29,2.94,0.7,0.10,-0.6,0.4,-0.8,-0.3,0.0,0.08,,-0.1,1.2,0.3,0.4,,0.05,0.03,-0.00750
2008-01-30,2.94,0.7,-0.03,-0.4,0.2,0.4,-0.1,0.1,0.09,,-0.1,-0.4,-0.4,-1.4,,0.02,0.00,-0.00437
2008-01-31,2.96,-0.7,-0.15,0.8,-0.5,-0.2,-0.1,0.1,-0.11,,-0.1,0.0,1.7,2.6,,0.03,-0.01,-0.12750
2008-02-01,2.98,-2.9,0.00,-0.8,-0.4,0.1,-0.1,-1.0,-0.05,,-0.2,1.0,1.0,2.4,,-0.06,0.00,-0.01688
2008-02-04,2.98,1.2,0.11,-0.1,0.4,-0.3,-0.2,0.5,0.06,,0.0,-3.6,-1.3,-1.0,,-0.05,0.03,0.05000
2008-02-05,3.01,-1.9,-0.01,1.2,0.2,0.2,0.3,-0.8,-0.07,,0.6,-1.1,-3.1,-3.0,,-0.06,0.00,0.01688
2008-02-06,3.05,-1.3,-0.08,-0.2,-0.2,-0.2,-0.1,-0.1,0.00,,-0.1,0.3,-1.3,-1.3,,-0.02,-0.02,-0.03438
2008-02-07,3.06,1.0,-0.07,0.9,0.1,0.0,-0.2,-0.9,0.13,,0.4,1.8,0.6,1.5,,0.03,0.01,-0.03125
2008-02-08,3.09,4.2,0.10,-1.2,0.5,0.4,-0.3,0.3,-0.10,,-0.2,0.6,0.5,-0.5,,0.03,-0.01,-0.00812
2008-02-11,3.09,2.0,#N/A,0.2,-0.7,0.0,0.1,0.1,-0.02,,0.0,1.3,0.7,0.1,,0.03,0.01,-0.01813
2008-02-12,3.11,-0.8,#N/A,-0.5,0.7,-0.1,-0.2,0.7,0.04,,-0.3,-0.6,0.0,0.8,,0.01,-0.01,-0.00250
2008-02-13,3.11,0.5,#N/A,0.3,0.7,0.1,0.0,0.0,0.04,,0.2,-1.6,2.3,2.3,,-0.03,-0.01,-0.00250
2008-02-14,3.10,2.3,#N/A,-0.3,-0.2,-0.1,0.0,0.5,0.15,,-0.2,0.6,-1.7,-2.3,,0.00,0.00,0.00000
2008-02-15,3.14,0.2,#N/A,0.5,-0.3,0.0,0.2,-0.5,-0.09,,0.0,-0.1,-0.5,-0.5,,0.05,-0.05,0.00500
2008-02-18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0.0,-0.5,#N/A,#N/A,,#N/A,#N/A,0.00000
2008-02-19,3.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,0.0,1.3,#N/A,#N/A,,#N/A,#N/A,0.00000
2008-02-20,3.03,0.9,#N/A,0.3,0.4,0.4,0.5,-0.5,0.04,,0.3,0.9,0.9,1.1,,0.10,0.00,0.00813
2008-02-21,3.10,-2.3,#N/A,-1.0,-0.3,0.1,0.0,1.1,-0.16,,-0.5,2.0,-1.2,-1.9,,-0.08,0.00,0.01437
2008-02-22,3.12,0.5,#N/A,0.7,-0.6,0.0,-0.2,0.3,0.02,,0.0,0.3,0.2,-0.1,,0.00,0.02,-0.01250
2008-02-25,3.08,0.4,#N/A,-1.7,0.8,0.0,0.2,0.0,0.12,,-0.1,0.2,1.0,2.2,,0.10,-0.04,0.00938
2008-02-26,3.10,1.4,#N/A,-1.2,-0.1,-0.2,-0.6,0.4,-0.03,,-0.4,-1.4,0.8,1.0,,0.05,0.07,0.00062
