DATE,inflation,Real_Personal_consumption,industrial_prod,money_supply,oil,ten_yr_two_yr_spread,trade_weighted_dollar,unemployment_rate
1987-02-01,1.9,-733.3,2.6,9.3,14.8,0.12,-4.8,-0.6
1987-03-01,2.8,-66.7,3.5,8.7,45.1,0.26,-3.9,-0.6
1987-04-01,3.7,-16.7,4.1,8.2,45.5,0.40,-4.8,-0.8
1987-05-01,3.7,-83.3,4.6,7.3,26.4,0.21,-3.5,-0.9
1987-06-01,3.7,-300.0,5.4,6.5,49.4,0.21,-2.8,-1.0
1987-07-01,3.9,-28.6,5.5,5.8,84.1,0.38,0.2,-0.9
1987-08-01,4.3,60.0,6.6,5.4,34.5,0.17,1.2,-0.9
1987-09-01,4.3,-122.7,6.6,4.9,31.3,-0.02,-0.4,-1.1
1987-10-01,4.4,-93.3,7.7,4.7,33.3,-0.03,-0.7,-1.0
1987-11-01,4.5,-133.3,7.7,4.4,23.9,0.20,-4.6,-1.1
1987-12-01,4.3,-63.6,7.3,3.6,7.3,0.29,-6.1,-0.9
1988-01-01,4.1,-134.6,7.7,3.8,-8.2,0.19,-2.9,-0.9
1988-02-01,3.9,-94.7,6.8,4.5,-5.4,0.18,-1.2,-0.9
1988-03-01,3.8,800.0,6.9,5.0,-11.5,0.27,-2.0,-0.9
1988-04-01,4.0,-180.0,6.8,5.2,-4.4,0.13,-1.2,-0.9
1988-05-01,4.0,500.0,6.0,5.5,-10.4,0.24,-0.3,-0.7
1988-06-01,4.0,-25.0,5.8,5.9,-17.6,0.06,-0.1,-0.8
1988-07-01,4.1,-60.0,5.1,6.1,-27.4,-0.23,1.0,-0.7
1988-08-01,4.1,-50.0,4.7,5.9,-23.6,-0.38,2.3,-0.4
1988-09-01,4.2,-40.0,4.1,5.6,-25.6,-0.56,4.0,-0.5
1988-10-01,4.3,-900.0,3.1,5.3,-30.7,-0.67,2.1,-0.6
1988-11-01,4.2,200.0,2.8,5.7,-25.0,-0.88,3.2,-0.5
1988-12-01,4.4,-37.5,2.8,5.7,-5.2,-1.11,5.0,-0.4
1989-01-01,4.5,-77.8,3.0,5.1,5.2,-1.13,6.4,-0.3
1989-02-01,4.6,-300.0,2.1,4.2,6.8,-1.23,5.9,-0.5
1989-03-01,4.9,-111.1,2.1,3.8,20.2,-1.42,8.5,-0.7
1989-04-01,5.0,-250.0,1.6,3.3,18.0,-1.40,9.9,-0.2
1989-05-01,5.3,-116.7,1.1,2.9,15.5,-1.25,11.8,-0.4
1989-06-01,5.2,-33.3,0.8,3.0,21.3,-1.02,12.4,-0.1
1989-07-01,5.1,50.0,-0.1,3.6,27.6,-0.58,8.4,-0.2
1989-08-01,4.6,150.0,0.4,4.1,19.7,-0.66,8.3,-0.4
1989-09-01,4.4,-33.3,0.3,4.6,34.7,-0.61,9.6,-0.1
1989-10-01,4.6,-112.5,-0.3,5.0,46.0,-0.42,10.6,-0.1
1989-11-01,4.7,-66.7,-0.1,5.1,40.5,-0.22,13.1,0.1
1989-12-01,4.6,60.0,0.0,5.5,28.8,0.04,13.1,0.1
1990-01-01,5.2,150.0,-0.9,5.9,26.9,0.21,11.5,0.0
1990-02-01,5.3,150.0,0.5,6.2,23.2,0.30,12.4,0.1
1990-03-01,5.2,-400.0,0.8,6.3,4.7,0.28,13.4,0.2
1990-04-01,4.7,-66.7,0.5,6.5,-12.5,0.34,13.2,0.2
1990-05-01,4.4,0.0,1.4,6.3,-9.5,0.28,9.8,0.2
1990-06-01,4.7,50.0,1.7,6.1,-16.7,0.26,7.6,-0.1
1990-07-01,4.8,-33.3,2.5,5.6,-6.7,0.11,7.0,0.3
1990-08-01,5.7,-100.0,1.9,5.5,47.0,0.72,4.0,0.5
1990-09-01,6.2,-50.0,2.4,5.2,71.1,0.90,1.5,0.6
1990-10-01,6.4,500.0,1.7,4.7,79.3,0.81,0.6,0.6
1990-11-01,6.2,-200.0,0.2,4.1,62.8,0.72,0.1,0.8
1990-12-01,6.3,-150.0,-1.1,3.8,29.3,0.71,1.6,0.9
1991-01-01,5.6,-280.0,-0.8,3.8,10.4,0.84,1.3,1.0
1991-02-01,5.3,-220.0,-2.5,3.9,-7.4,0.88,-0.6,1.3
1991-03-01,4.8,300.0,-3.5,4.1,-2.4,1.05,0.6,1.6
1991-04-01,4.8,-250.0,-3.1,4.1,13.0,1.02,1.6,1.3
1991-05-01,5.0,-300.0,-2.4,4.4,16.6,1.17,2.9,1.5
1991-06-01,4.7,-100.0,-1.8,4.3,20.9,1.19,4.1,1.7
1991-07-01,4.4,150.0,-1.6,4.1,16.0,1.04,6.0,1.3
1991-08-01,3.8,#N/A,-1.8,3.5,-20.6,0.78,6.9,1.2
1991-09-01,3.4,-200.0,-1.1,3.1,-34.7,0.66,6.5,1.0
1991-10-01,2.8,-33.3,-0.5,3.1,-35.5,0.78,8.3,1.1
1991-11-01,3.1,-600.0,0.6,3.2,-30.5,1.07,7.2,0.8
1991-12-01,3.0,-150.0,0.8,3.1,-28.5,1.29,4.9,1.0
1992-01-01,2.7,-266.7,0.7,2.8,-25.5,1.11,4.7,0.9
1992-02-01,2.8,-83.3,2.1,2.9,-7.2,1.15,7.0,0.8
1992-03-01,3.2,-83.3,3.5,2.5,-4.9,0.84,5.4,0.6
1992-04-01,3.2,-133.3,4.1,2.0,-2.9,1.05,3.8,0.7
1992-05-01,3.0,150.0,3.4,1.7,-1.2,0.87,2.7,0.7
1992-06-01,3.0,#N/A,2.5,1.2,10.9,0.89,0.0,0.9
1992-07-01,3.2,-40.0,3.3,1.1,1.8,1.13,-1.4,0.9
1992-08-01,3.1,-250.0,2.7,1.3,-1.6,0.93,-1.0,0.7
1992-09-01,3.0,500.0,2.1,1.7,0.0,1.06,1.0,0.7
1992-10-01,3.3,-175.0,3.0,1.9,-6.6,0.89,3.2,0.3
1992-11-01,3.1,-60.0,3.6,1.8,-9.4,0.43,7.6,0.4
1992-12-01,3.0,250.0,4.1,1.6,-0.5,0.04,9.1,0.1
1993-01-01,3.3,-106.7,5.1,1.1,1.3,0.14,10.2,0.0
1993-02-01,3.2,100.0,4.8,0.4,5.7,0.03,9.1,-0.3
1993-03-01,3.0,-250.0,3.8,0.2,7.4,0.18,6.6,-0.4
1993-04-01,3.2,600.0,3.4,0.3,0.1,-0.01,5.3,-0.3
1993-05-01,3.2,-40.0,2.7,1.1,-4.9,-0.10,6.2,-0.5
1993-06-01,3.0,33.3,2.8,1.4,-14.7,-0.41,8.5,-0.8
1993-07-01,2.8,66.7,2.2,1.4,-17.9,-0.74,11.6,-0.8
1993-08-01,2.8,-66.7,2.6,1.4,-15.6,-0.72,12.1,-0.8
1993-09-01,2.8,0.0,2.9,1.2,-20.0,-1.02,11.2,-0.9
1993-10-01,2.8,-33.3,2.9,1.0,-16.3,-1.05,10.2,-0.5
