passengers,date
112,1/1/1949
118,2/1/1949
132,3/1/1949
129,4/1/1949
121,5/1/1949
135,6/1/1949
148,7/1/1949
148,8/1/1949
136,9/1/1949
119,10/1/1949
104,11/1/1949
118,12/1/1949
115,1/1/1950
126,2/1/1950
141,3/1/1950
135,4/1/1950
125,5/1/1950
149,6/1/1950
170,7/1/1950
170,8/1/1950
158,9/1/1950
133,10/1/1950
114,11/1/1950
140,12/1/1950
145,1/1/1951
150,2/1/1951
178,3/1/1951
163,4/1/1951
172,5/1/1951
178,6/1/1951
199,7/1/1951
199,8/1/1951
184,9/1/1951
162,10/1/1951
146,11/1/1951
166,12/1/1951
171,1/1/1952
180,2/1/1952
193,3/1/1952
181,4/1/1952
183,5/1/1952
218,6/1/1952
230,7/1/1952
242,8/1/1952
209,9/1/1952
191,10/1/1952
172,11/1/1952
194,12/1/1952
196,1/1/1953
196,2/1/1953
236,3/1/1953
235,4/1/1953
229,5/1/1953
243,6/1/1953
264,7/1/1953
272,8/1/1953
237,9/1/1953
211,10/1/1953
180,11/1/1953
201,12/1/1953
204,1/1/1954
188,2/1/1954
235,3/1/1954
227,4/1/1954
234,5/1/1954
264,6/1/1954
302,7/1/1954
293,8/1/1954
259,9/1/1954
229,10/1/1954
203,11/1/1954
229,12/1/1954
242,1/1/1955
233,2/1/1955
267,3/1/1955
269,4/1/1955
270,5/1/1955
315,6/1/1955
364,7/1/1955
347,8/1/1955
312,9/1/1955
274,10/1/1955
237,11/1/1955
278,12/1/1955
284,1/1/1956
277,2/1/1956
317,3/1/1956
313,4/1/1956
318,5/1/1956
374,6/1/1956
413,7/1/1956
405,8/1/1956
355,9/1/1956
306,10/1/1956
271,11/1/1956
306,12/1/1956
315,1/1/1957
301,2/1/1957
356,3/1/1957
348,4/1/1957
355,5/1/1957
422,6/1/1957
465,7/1/1957
467,8/1/1957
404,9/1/1957
347,10/1/1957
305,11/1/1957
336,12/1/1957
340,1/1/1958
318,2/1/1958
362,3/1/1958
348,4/1/1958
363,5/1/1958
435,6/1/1958
491,7/1/1958
505,8/1/1958
404,9/1/1958
359,10/1/1958
310,11/1/1958
337,12/1/1958
360,1/1/1959
342,2/1/1959
406,3/1/1959
396,4/1/1959
420,5/1/1959
472,6/1/1959
548,7/1/1959
559,8/1/1959
463,9/1/1959
407,10/1/1959
362,11/1/1959
405,12/1/1959
417,1/1/1960
391,2/1/1960
419,3/1/1960
461,4/1/1960
472,5/1/1960
535,6/1/1960
622,7/1/1960
606,8/1/1960
508,9/1/1960
461,10/1/1960
390,11/1/1960
432,12/1/1960
